Date,Close
12/19/2025,209.45
12/12/2025,204.97
12/05/2025,190.01
11/28/2025,184.18
11/21/2025,168.18
11/14/2025,170.68
11/07/2025,166.13
10/31/2025,170.54
10/24/2025,178.17
10/17/2025,167.41
10/10/2025,167.51
10/03/2025,175.59
9/26/2025,176.3
9/19/2025,169.62
09/12/2025,159.865
09/05/2025,167.8
8/29/2025,202.2
8/22/2025,207.59
8/15/2025,198.46
08/08/2025,189.43
08/01/2025,193.33
7/25/2025,219.43
7/18/2025,229.77
07/11/2025,236.51
07/04/2025,247.68
6/27/2025,235.02
6/20/2025,227.47
6/13/2025,239.11
06/06/2025,265.27
5/30/2025,316.67
5/23/2025,310.76
5/16/2025,321.44
05/09/2025,279.77
05/02/2025,277.36
4/25/2025,267.9
4/18/2025,251.08
04/11/2025,261.03
04/04/2025,263.7
3/28/2025,293.06
3/21/2025,322.62
3/14/2025,311.03
03/07/2025,344.36
2/28/2025,365.61
2/21/2025,358.97
2/14/2025,366.68
02/07/2025,398.1
1/31/2025,414.2
1/24/2025,400.03
1/17/2025,373.7
01/10/2025,395.47
01/03/2025,378.18
12/27/2024,386.67
12/20/2024,379.42
12/13/2024,391.63
12/06/2024,399.6
11/29/2024,320.66
11/22/2024,317.11
11/15/2024,320.01
11/08/2024,308.53
11/01/2024,321.17
10/25/2024,304.15
10/18/2024,291.63
10/11/2024,278.245
10/04/2024,270.38
9/27/2024,280.01
9/20/2024,262.61
9/13/2024,266.76
09/06/2024,253.84
8/30/2024,259.47
8/23/2024,268.55
8/16/2024,258.1
08/09/2024,238.72
08/02/2024,236
7/26/2024,253.5
7/19/2024,280.235
07/12/2024,291.06
07/05/2024,298.14
6/28/2024,298.7
6/21/2024,311.82
6/14/2024,306.01
06/07/2024,317.86
5/31/2024,311.99
5/24/2024,303.005
5/17/2024,334.95
05/10/2024,352.96
05/03/2024,355.15
4/26/2024,364.7
4/19/2024,352.47
04/12/2024,336.13
04/05/2024,356.87
3/29/2024,390.65
3/22/2024,403.19
3/15/2024,464.94
03/08/2024,460.39
03/01/2024,458.5
2/23/2024,457.89
2/16/2024,449.6
02/09/2024,470.24
02/02/2024,462.4
1/26/2024,478.03
1/19/2024,484.02
01/12/2024,479.94
01/05/2024,491.1
12/29/2023,511.29
12/22/2023,510
12/15/2023,491.46
12/08/2023,489.64
12/01/2023,466.61
11/24/2023,431.76
11/17/2023,422.44
11/10/2023,413.67
11/03/2023,407.93
10/27/2023,386.82
10/20/2023,395.82
10/13/2023,377.69
10/06/2023,367.22
9/29/2023,385.61
9/22/2023,388.05
9/15/2023,389.93
09/08/2023,396.36
09/01/2023,404.19
8/25/2023,365.59
8/18/2023,381.29
08/11/2023,381.13
08/04/2023,378.2
7/28/2023,377.96
7/21/2023,382.96
7/14/2023,380.41
07/07/2023,363.74
6/30/2023,378.5
6/23/2023,374.25
6/16/2023,383.02
06/09/2023,360.4
06/02/2023,365.44
5/26/2023,340.26
5/19/2023,368.53
05/12/2023,376.2
05/05/2023,386.71
4/28/2023,379.93
4/21/2023,377.8
4/14/2023,368.25
04/07/2023,364.33
3/31/2023,364.19
3/24/2023,313.45
3/17/2023,294.74
03/10/2023,296.26
03/03/2023,316.83
2/24/2023,308.1
2/17/2023,320.36
02/10/2023,309.4
02/03/2023,319.42
1/27/2023,310.85
1/20/2023,312.8
1/13/2023,315.47
01/06/2023,329.26
12/30/2022,320.38
12/23/2022,311.54
12/16/2022,321.24
12/09/2022,326.39
12/02/2022,385.99
11/25/2022,361.16
11/18/2022,347.85
11/11/2022,359.7
11/04/2022,325.57
10/28/2022,328.48
10/21/2022,298.63
10/14/2022,288.78
10/07/2022,298.22
9/30/2022,279.56
9/23/2022,293.2
9/16/2022,333.24
09/09/2022,348.65
09/02/2022,314.17
8/26/2022,311.31
8/19/2022,322.47
08/12/2022,321.69
08/05/2022,317.8
7/29/2022,310.51
7/22/2022,304.5
7/15/2022,286.41
07/08/2022,293.39
07/01/2022,263.38
6/24/2022,293.36
6/17/2022,278.13
06/10/2022,291.6
06/03/2022,300.8
5/27/2022,293.65
5/20/2022,274.04
5/13/2022,309.29
05/06/2022,317.05
4/29/2022,354.63
4/22/2022,363.66
4/15/2022,390.78
04/08/2022,369.46
04/01/2022,367.44
3/25/2022,321.14
3/18/2022,316.93
03/11/2022,291.55
03/04/2022,320.58
2/25/2022,317.58
2/18/2022,308.66
02/11/2022,316.72
02/04/2022,336.37
1/28/2022,315.91
1/21/2022,313.02
1/14/2022,328.98
01/07/2022,355.21
12/31/2021,391.45
12/24/2021,391.56
12/17/2021,384.66
12/10/2021,409.58
12/03/2021,435.72
11/26/2021,456.58
11/19/2021,473
11/12/2021,452.59
11/05/2021,467.91
10/29/2021,466.01
10/22/2021,421.73
10/15/2021,403.51
10/08/2021,397.22
10/01/2021,401.37
9/24/2021,432.61
9/17/2021,426.55
09/10/2021,425.58
09/03/2021,388.33
8/27/2021,405.97
8/20/2021,397.83
8/13/2021,408.72
08/06/2021,408.52
7/30/2021,400.17
7/23/2021,402.79
7/16/2021,371.69
07/09/2021,377.42
07/02/2021,368.47
6/25/2021,363.69
6/18/2021,347.57
06/11/2021,338.3
06/04/2021,329.52
5/28/2021,323.13
5/21/2021,313.2
5/14/2021,314.65
05/07/2021,330.24
4/30/2021,335.27
4/23/2021,340.98
4/16/2021,324.1
04/09/2021,318.12
04/02/2021,301.07
3/26/2021,314
3/19/2021,308.71
03/12/2021,306.08
03/05/2021,293.24
2/26/2021,311.68
2/19/2021,332.23
02/12/2021,342.86
02/05/2021,334.08
1/29/2021,328.68
1/22/2021,346.37
1/15/2021,344.5
01/08/2021,365.46
01/01/2021,348.03
12/25/2020,351.42
12/18/2020,378.05
12/11/2020,344.32
12/04/2020,377.06
11/27/2020,365.39
11/20/2020,345.74
11/13/2020,325.45
11/06/2020,343.8
10/30/2020,319.29
10/23/2020,333.92
10/16/2020,349.95
10/09/2020,346.46
10/02/2020,332.67
9/25/2020,315.35
9/18/2020,294.76
09/11/2020,313.39
09/04/2020,361.41
8/28/2020,377.48
8/21/2020,368.75
8/14/2020,349.12
08/07/2020,342.12
7/31/2020,325.59
7/24/2020,321.5
7/17/2020,316.82
07/10/2020,314.39
07/03/2020,304.77
6/26/2020,289.53
6/19/2020,297.38
06/12/2020,296.36
06/05/2020,319.78
5/29/2020,300.095
5/22/2020,276.73
5/15/2020,247.09
05/08/2020,237.99
05/01/2020,218.69
4/24/2020,214.55
4/17/2020,225.86
04/10/2020,203.51
04/03/2020,181.25
3/27/2020,188.84
3/20/2020,165.01
3/13/2020,176.75
03/06/2020,218.55
2/28/2020,217.41
2/21/2020,255.9
2/14/2020,254.41
02/07/2020,243.51
1/31/2020,239.39
1/24/2020,240.35
1/17/2020,241.25
01/10/2020,234.84
01/03/2020,232.64
